ID,ゲーム仕様文,ゲーム仕様が含まれるタイトル,プリンセスメーカー,ベスト競馬・ダービースタリオン,卒業 Graduation,ときめきメモリアル,Jリーグプロサッカークラブをつくろう!,実況パワフルプロ野球3,子育てクイズ マイエンジェル,エターナルメロディ,ゲームで発見!!たまごっち,悠久幻想曲,モンスターファーム,プリメ・ゆめみる妖精,ポケットモンスター ルビー・サファイア,nintendogs,アイドルマスター,ウイニングポストワールド,ドラゴンクエストIX 星空の守り人,ドラゴンクエストモンスターズ ジョーカー2,おさわり探偵 なめこ栽培キット,パズル＆ドラゴンズ,艦これ,パワプロアプリ,刀剣乱舞,Fate/Grand Order,共通していた頻度,第一類似仕様のプレイヤーチェック（10なら置換可能）,BERTによる最も類似しているゲーム仕様文,BERTによる第一類似のスコア,第二類似仕様のプレイヤーチェック（10なら置換可能）,BERTによる第二に類似しているゲーム仕様文,BERTによる第二類似のスコア,第三類似仕様のプレイヤーチェック（10なら置換可能）,BERTによる第三に類似しているゲーム仕様文,BERTによる第三類似のスコア
479,バトル結果に応じてすごろく内での動作に影響が出る,エターナルメロディ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,バトルでわざを使用した際に相性に応じてダメージ量が変動する,0.95,0,バトルでわざを使用した際に相性に応じた効果の変化がテキストで表示される,0.95,0,相性に応じてバトルで攻撃した際のダメージが変動,0.93
480,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
481,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
482,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
483,,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
484,育成対象キャラクターを複数のたまごの中から選ぶ,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,8,9,ゲームの最初に育成対象キャラクターを選ぶ（10人の育成対象キャラのなかから任意の3人の仲間を選択）。,0.95,0,デッキ編成した育成対象キャラクターの中からリーダーを選べる,0.94,9,初期育成キャラクターは3キャラクターの中から1キャラクターのみ選択,0.94
485,たまごは有限,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,各たまごは異なるグラフィックで表示,0.82,0,たまごがうまれる確率は特定NPCのセリフで確認できる,0.81,0,たまごから生まれた育成キャラクターはたまごを残した育成キャラクターのパラメーターが一部反映される,0.81
486,各たまごは異なるグラフィックで表示,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,専用コンテンツで使用するパラメータはグラフで表示される,0.91,0,たまごから変化した育成キャラクターの初期レベルは固定値である,0.91,0,たまごは育成キャラクター同様デッキ編成できる,0.91
487,たまごが0の状態かつ全育成対象キャラクターの育成が終了するとゲームオーバー,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,デッキ編成しているキャラクターすべてのHPが0になると敗北扱いとなる,0.95,0,育成対象キャラクターはバトルでHP0になると削除される,0.94,0,敵全員のHPが0になった場合は勝利扱いとなり報酬を獲得しプレイが再開する,0.94
488,選択したたまごから育成対象キャラクターが誕生,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,どのたまごからどの育成対象キャラクターが誕生するかは固定,0.94,0,育成対象キャラクターを複数のたまごの中から選ぶ,0.93,0,クエストで育成対象キャラクターを獲得できる,0.93
489,どのたまごからどの育成対象キャラクターが誕生するかは固定,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8,たまごがどのキャラクターに変化するかは特定施設に預けた育成キャラクターによって決定される,0.95,0,選択したたまごから育成対象キャラクターが誕生,0.94,0,たまごから変化した育成キャラクターの初期レベルは固定値である,0.94
490,育成キャラクターに名前とは別にニックネームを設定,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,4,10,育成キャラクターには名前とは別にニックネームを任意設定できる,0.96,10,育成対象キャラクターには名前とは別にニックネームを任意設定できる,0.96,0,プレイヤーキャラクター専用のパラメータは育成終了時に評価される,0.91
491,育成対象キャラクター名の最後には必ず決まった文字がはいる,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,メイン画面には育成対象キャラクターの名前が表示されている,0.94,0,メイン画面では育成対象キャラクターの名前が表示される,0.94,0,ゲームの最初に育成対象キャラクターの名前を決める,0.93
492,育成対象キャラクターが複数いる,ゲームで発見!!たまごっち,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,18,10,育成対象キャラが複数いる,0.99,10,育成対象キャラクターが複数いる。,0.99,10,育成対象キャラクターが複数種類いる,0.98
493,育成キャラクターは同時に3キャラまで同時に育成が可能,ゲームで発見!!たまごっち,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,14,10,3キャラまで同時育成が可能,0.97,9,育成対象キャラクターは複数体デッキ編成が可能,0.95,0,プレイヤーキャラクター含め育成キャラクターは最大9人まで作成可能,0.95
494,各育成対象キャラクターごとに育成期間が設定されている,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,育成キャラクターごとに編成コストが設定されている,0.96,0,育成対象キャラクターごとに得意な育成コマンドが設定されている,0.96,0,ランクは育成キャラクターごとに固定で設定されている,0.96
495,育成期間はキャラクターのパラメーター状況に応じて変動する,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,時間経過に応じて育成対象キャラクターのパラメータが変化する,0.96,0,育成方針に応じてパラメータの変動率が変化する,0.96,0,関係度を構成するパラメータ値に応じて育成コマンドの成功率が変動する,0.96
496,育成期間終了前であってもプレイヤーが強制的に育成を終了することができる,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,パラメータ上限に達している場合は育成コマンドを実行しても無効となる,0.93,0,同時育成している場合は各育成対象キャラクターに個別で育成コマンドを実行できる,0.92,0,第二ゲームでは規定人数をデッキに編成しないとゲーム開始できない,0.92
497,育成対象キャラクターの寿命をむかえると育成終了,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,たまごが0の状態かつ全育成対象キャラクターの育成が終了するとゲームオーバー,0.93,0,一定パラメータ値を下回ると育成対象キャラクターが家出する,0.91,0,育成対象が一定年齢に到達すると職業が設定される,0.91
498,育成終了したキャラクターは最大8つまで記録できる,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,保存すると育成対象キャラクターの成長をストップできる,0.93,0,入手した育成対象キャラクターは図鑑に登録される,0.92,0,セーブデータは1つのみ作成できる,0.92
499,1定条件を満たして寿命を迎えるとたまごが増える,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,たまごはデッキ編成していることなどの条件を満たすことでレベルアップできる状態に変化する,0.93,0,パラメータが一定値に達するとレベルがあがる,0.93,0,ゲーム内で特定の条件を満たすと称号を獲得できる,0.93
500,たまごから生まれた育成キャラクターはたまごを残した育成キャラクターのパラメーターが1部反映される,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,たまごから変化した育成キャラクターの初期レベルは固定値である,0.95,5,作成した育成キャラクターのパラメータは親のパラメータに応じて決定される,0.95,2,合成で生まれる育成対象キャラクターは親のパラメータを引き継ぐ,0.94
501,ゲームはゲーム内における24時間が自動経過する,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,ゲーム内時間はシステムメニューから変更できる,0.92,0,ゲーム内時間で夜になると育成キャラクターは自動で休みに入る,0.92,0,ゲームはターン制で進行,0.9
502,ゲーム内時間はシステムメニューから変更できる,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,パラメータはシステムメニューで確認できる,0.95,0,システムメニューではセーブができる,0.94,0,システムメニューからセーブが行える,0.94
503,時間経過に応じて育成対象キャラクターのパラメータが変化する,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,パラメータの変化に応じて育成対象キャラクターの待機モーションが変化する,0.98,0,実行した育成コマンドに応じて育成対象キャラクターのパラメータが変化する,0.97,0,索敵によって育成対象キャラクターの特定のパラメータが上昇する,0.96
504,育成キャラクターには複数種類のパラメーターがある,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,9,10,育成キャラクターには複数のパラメーターがある,0.99,10,育成キャラクターには複数のパラメータがある,0.99,0,アイテムには複数のパラメータがある,0.96
505,パラメータはパラメータ確認画面から確認可能,ゲームで発見!!たまごっち,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,10,パラメータはパラメータ確認画面から確認できる,0.99,10,各パラメータはパラメータ確認画面から確認可能,0.99,10,パラメータはパラメータ確認画面から確認できる。,0.97
506,各パラメーターはゲージで表示されている,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,8,パラメータは円の大きさで表示されている,0.95,0,パラメータはテキストで表現されている,0.95,0,パーティ画面では各キャラクターの関係度が表示されている,0.95
507,パラメータ確認画面に表示されないパラメータがある,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,NPCのコメントで数値表示されていないパラメータ状況を確認できる,0.94,0,育成画面には育成対象キャラクターのパラメータが表示されている,0.93,0,メイン画面には育成対象キャラクターのパラメータの一部が表示されている,0.93
508,パラメータの変化に応じて育成対象キャラクターの待機モーションが変化する,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,時間経過に応じて育成対象キャラクターのパラメータが変化する,0.98,0,実行した育成コマンドに応じて育成対象キャラクターのパラメータが変化する,0.97,10,育成対象キャラクターはパラメータ変化に合わせたモーションをとる,0.96
509,育成コマンドには複数種ある,ゲームで発見!!たまごっち,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,15,10,育成コマンドが複数種ある,0.97,10,育成馬の強化コマンドは複数種存在する,0.95,0,装備には複数種ある,0.94
510,育成コマンド内にさらに複数種類の練習内容のコマンドがある,ゲームで発見!!たまごっち,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,9,0,育成キャラクターには複数種類のパラメーターがある,0.94,2,育成コマンドの中に休息コマンドがある,0.93,0,育成コマンドが複数種ある,0.93
511,それぞれの育成コマンドに対応したパラメーターが変動,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,10,実行した育成コマンドに応じたパラメータが変動する,0.95,10,実行した育成コマンドに応じたパラメータが上昇する,0.95,10,実行した育成コマンドに応じて育成対象キャラクターのパラメータが変化する,0.94
512,育成コマンドによるパラメータ値の変動はコマンド実行直後は確認できない,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,育成コマンドによるパラメータの変化は育成コマンド実行後に確認できる,0.97,0,育成コマンド実行後にキャラのパラメータ変化量が確認できる,0.96,0,練習コマンドによるパラメータの上昇値は毎回固定値ではない,0.96
513,育成コマンドには成功失敗がある,ゲームで発見!!たまごっち,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,8,0,装備入手コマンドには成功失敗がある,0.98,10,育成馬強化コマンドには成功失敗がある,0.98,10,育成コマンドには成功と失敗がある。,0.96
514,成功した場合パラメータの上昇量が増える,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,成功時はパラメータが上昇する,0.95,0,強化すると育成コマンド実行時の該当パラメータ上昇量が増える,0.94,0,スキルには選択したパラメータの上昇量が増加するものがある,0.94
515,育成コマンドには難易度がある,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,派遣には難易度がある,0.96,0,育成キャラクターには疲労度がある,0.95,0,育成コマンドにはランダム要素がある,0.94
516,難易度が高いほど得られるパラメータが大きい,ゲームで発見!!たまごっち,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,特定パラメータが高いほどアイテム獲得率が上がる,0.93,0,ランクが高いほどパラメータも高い傾向にある,0.93,0,疲労度が高いほどバトル中のパラメータが減少,0.92
